path,modality,vocal_channel,emotion,intensity,statement,repetition,actor,gender,sampling_rate,duration
/kaggle/input/ravdess-emotional-speech-audio/Actor_02/03-01-08-01-01-01-02.wav,3,1,surprised,normal,Kids are talking by the door,1,2,female,48000.0,3.5368541666666666
/kaggle/input/ravdess-emotional-speech-audio/Actor_02/03-01-01-01-01-01-02.wav,3,1,neutral,normal,Kids are talking by the door,1,2,female,48000.0,3.6369583333333333
/kaggle/input/ravdess-emotional-speech-audio/Actor_02/03-01-07-02-01-02-02.wav,3,1,disgust,strong,Kids are talking by the door,2,2,female,48000.0,4.137458333333333
/kaggle/input/ravdess-emotional-speech-audio/Actor_02/03-01-07-01-01-02-02.wav,3,1,disgust,normal,Kids are talking by the door,2,2,female,48000.0,3.636979166666667
/kaggle/input/ravdess-emotional-speech-audio/Actor_02/03-01-01-01-02-01-02.wav,3,1,neutral,normal,Dogs are sitting by the door,1,2,female,48000.0,3.7704166666666667
/kaggle/input/ravdess-emotional-speech-audio/Actor_02/03-01-06-02-02-01-02.wav,3,1,fearful,strong,Dogs are sitting by the door,1,2,female,48000.0,3.6036041666666665
/kaggle/input/ravdess-emotional-speech-audio/Actor_02/03-01-04-01-02-01-02.wav,3,1,sad,normal,Dogs are sitting by the door,1,2,female,48000.0,3.7370625
/kaggle/input/ravdess-emotional-speech-audio/Actor_02/03-01-01-01-01-02-02.wav,3,1,neutral,normal,Kids are talking by the door,2,2,female,48000.0,3.6036041666666665
/kaggle/input/ravdess-emotional-speech-audio/Actor_02/03-01-02-01-01-02-02.wav,3,1,calm,normal,Kids are talking by the door,2,2,female,48000.0,4.004
/kaggle/input/ravdess-emotional-speech-audio/Actor_02/03-01-03-01-01-01-02.wav,3,1,happy,normal,Kids are talking by the door,1,2,female,48000.0,3.6036041666666665
/kaggle/input/ravdess-emotional-speech-audio/Actor_02/03-01-07-01-02-02-02.wav,3,1,disgust,normal,Dogs are sitting by the door,2,2,female,48000.0,3.8371666666666666
/kaggle/input/ravdess-emotional-speech-audio/Actor_02/03-01-05-01-01-02-02.wav,3,1,angry,normal,Kids are talking by the door,2,2,female,48000.0,3.6703333333333332
/kaggle/input/ravdess-emotional-speech-audio/Actor_02/03-01-03-01-01-02-02.wav,3,1,happy,normal,Kids are talking by the door,2,2,female,48000.0,3.7036875
/kaggle/input/ravdess-emotional-speech-audio/Actor_02/03-01-06-02-01-02-02.wav,3,1,fearful,strong,Kids are talking by the door,2,2,female,48000.0,3.636979166666667
/kaggle/input/ravdess-emotional-speech-audio/Actor_02/03-01-08-02-02-01-02.wav,3,1,surprised,strong,Dogs are sitting by the door,1,2,female,48000.0,3.7370833333333335
/kaggle/input/ravdess-emotional-speech-audio/Actor_02/03-01-06-02-01-01-02.wav,3,1,fearful,strong,Kids are talking by the door,1,2,female,48000.0,3.8037916666666667
/kaggle/input/ravdess-emotional-speech-audio/Actor_02/03-01-06-01-02-02-02.wav,3,1,fearful,normal,Dogs are sitting by the door,2,2,female,48000.0,3.7370625
/kaggle/input/ravdess-emotional-speech-audio/Actor_02/03-01-02-01-02-01-02.wav,3,1,calm,normal,Dogs are sitting by the door,1,2,female,48000.0,3.8371666666666666
/kaggle/input/ravdess-emotional-speech-audio/Actor_02/03-01-04-02-02-02-02.wav,3,1,sad,strong,Dogs are sitting by the door,2,2,female,48000.0,3.6703333333333332
/kaggle/input/ravdess-emotional-speech-audio/Actor_02/03-01-03-02-01-02-02.wav,3,1,happy,strong,Kids are talking by the door,2,2,female,48000.0,3.6703333333333332
/kaggle/input/ravdess-emotional-speech-audio/Actor_02/03-01-07-01-01-01-02.wav,3,1,disgust,normal,Kids are talking by the door,1,2,female,48000.0,3.6703333333333332
/kaggle/input/ravdess-emotional-speech-audio/Actor_02/03-01-08-02-01-01-02.wav,3,1,surprised,strong,Kids are talking by the door,1,2,female,48000.0,3.7370625
/kaggle/input/ravdess-emotional-speech-audio/Actor_02/03-01-05-02-01-01-02.wav,3,1,angry,strong,Kids are talking by the door,1,2,female,48000.0,3.9039166666666665
/kaggle/input/ravdess-emotional-speech-audio/Actor_02/03-01-03-02-02-01-02.wav,3,1,happy,strong,Dogs are sitting by the door,1,2,female,48000.0,3.703708333333333
/kaggle/input/ravdess-emotional-speech-audio/Actor_02/03-01-06-01-01-01-02.wav,3,1,fearful,normal,Kids are talking by the door,1,2,female,48000.0,3.636979166666667
/kaggle/input/ravdess-emotional-speech-audio/Actor_02/03-01-05-01-02-02-02.wav,3,1,angry,normal,Dogs are sitting by the door,2,2,female,48000.0,3.8037916666666667
/kaggle/input/ravdess-emotional-speech-audio/Actor_02/03-01-05-02-02-01-02.wav,3,1,angry,strong,Dogs are sitting by the door,1,2,female,48000.0,4.004
/kaggle/input/ravdess-emotional-speech-audio/Actor_02/03-01-05-02-02-02-02.wav,3,1,angry,strong,Dogs are sitting by the door,2,2,female,48000.0,4.004
